src_node,dest_node,nodes,links,distance,num_hops
0,2,"[0, 14, 3, 18, 35, 23, 29, 28, 19, 30, 38, 36, 21, 1, 11, 2]","[3, 19, 20, 71, 83, 82, 91, 73, 74, 95, 106, 78, 11, 9, 15]",129.0,15
0,2,"[0, 14, 3, 18, 35, 23, 29, 28, 31, 1, 12, 33, 37, 11, 2]","[3, 19, 20, 71, 83, 82, 91, 92, 12, 10, 61, 102, 57, 15]",133.0,14
0,2,"[0, 14, 3, 18, 35, 23, 27, 8, 30, 38, 36, 21, 1, 11, 2]","[3, 19, 20, 71, 83, 81, 43, 44, 95, 106, 78, 11, 9, 15]",149.0,14
0,2,"[0, 14, 3, 18, 35, 31, 28, 19, 30, 38, 36, 21, 1, 12, 33, 37, 11, 2]","[3, 19, 20, 71, 98, 92, 73, 74, 95, 106, 78, 11, 10, 61, 102, 57, 15]",160.0,17
0,2,"[0, 14, 3, 18, 35, 23, 27, 8, 30, 19, 28, 31, 1, 12, 33, 37, 11, 2]","[3, 19, 20, 71, 83, 81, 43, 44, 74, 73, 92, 12, 10, 61, 102, 57, 15]",161.0,17
0,2,"[0, 14, 3, 18, 35, 23, 29, 28, 19, 30, 38, 36, 21, 1, 12, 33, 37, 11, 2]","[3, 19, 20, 71, 83, 82, 91, 73, 74, 95, 106, 78, 11, 10, 61, 102, 57, 15]",170.0,18
0,2,"[0, 14, 3, 18, 35, 31, 28, 29, 23, 27, 8, 30, 38, 36, 21, 1, 11, 2]","[3, 19, 20, 71, 98, 92, 91, 82, 81, 43, 44, 95, 106, 78, 11, 9, 15]",171.0,17
0,2,"[0, 14, 3, 18, 35, 23, 27, 8, 30, 38, 36, 21, 1, 12, 33, 37, 11, 2]","[3, 19, 20, 71, 83, 81, 43, 44, 95, 106, 78, 11, 10, 61, 102, 57, 15]",190.0,17
0,2,"[0, 14, 3, 18, 35, 31, 28, 29, 23, 27, 8, 30, 38, 36, 21, 1, 12, 33, 37, 11, 2]","[3, 19, 20, 71, 98, 92, 91, 82, 81, 43, 44, 95, 106, 78, 11, 10, 61, 102, 57, 15]",212.0,20
0,3,"[0, 14, 3]","[3, 19]",26.0,2
0,3,"[0, 13, 12, 1, 31, 35, 18, 3]","[2, 60, 10, 12, 98, 71, 20]",51.0,7
0,3,"[0, 13, 12, 1, 31, 28, 29, 23, 35, 18, 3]","[2, 60, 10, 12, 92, 91, 82, 83, 71, 20]",67.0,10
0,3,"[0, 16, 17, 2, 11, 1, 31, 35, 18, 3]","[5, 67, 16, 15, 9, 12, 98, 71, 20]",84.0,9
0,3,"[0, 13, 12, 33, 37, 11, 1, 31, 35, 18, 3]","[2, 60, 61, 102, 57, 9, 12, 98, 71, 20]",92.0,10
0,3,"[0, 13, 12, 1, 21, 36, 38, 30, 19, 28, 31, 35, 18, 3]","[2, 60, 10, 11, 78, 106, 95, 74, 73, 92, 98, 71, 20]",94.0,13
0,3,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 27, 23, 35, 18, 3]","[2, 60, 10, 12, 92, 73, 74, 44, 43, 81, 83, 71, 20]",95.0,13
0,3,"[0, 16, 17, 2, 11, 1, 31, 28, 29, 23, 35, 18, 3]","[5, 67, 16, 15, 9, 12, 92, 91, 82, 83, 71, 20]",100.0,12
0,3,"[0, 13, 12, 1, 21, 36, 38, 30, 19, 28, 29, 23, 35, 18, 3]","[2, 60, 10, 11, 78, 106, 95, 74, 73, 91, 82, 83, 71, 20]",104.0,14
0,3,"[0, 13, 12, 33, 37, 11, 1, 31, 28, 29, 23, 35, 18, 3]","[2, 60, 61, 102, 57, 9, 12, 92, 91, 82, 83, 71, 20]",108.0,13
0,3,"[0, 13, 12, 1, 21, 36, 38, 30, 8, 27, 23, 35, 18, 3]","[2, 60, 10, 11, 78, 106, 95, 44, 43, 81, 83, 71, 20]",124.0,13
0,3,"[0, 16, 17, 2, 11, 37, 33, 12, 1, 31, 35, 18, 3]","[5, 67, 16, 15, 57, 102, 61, 10, 12, 98, 71, 20]",125.0,12
0,3,"[0, 16, 17, 2, 11, 1, 21, 36, 38, 30, 19, 28, 31, 35, 18, 3]","[5, 67, 16, 15, 9, 11, 78, 106, 95, 74, 73, 92, 98, 71, 20]",127.0,15
0,3,"[0, 16, 17, 2, 11, 1, 31, 28, 19, 30, 8, 27, 23, 35, 18, 3]","[5, 67, 16, 15, 9, 12, 92, 73, 74, 44, 43, 81, 83, 71, 20]",128.0,15
0,3,"[0, 13, 12, 33, 37, 11, 1, 21, 36, 38, 30, 19, 28, 31, 35, 18, 3]","[2, 60, 61, 102, 57, 9, 11, 78, 106, 95, 74, 73, 92, 98, 71, 20]",135.0,16
0,3,"[0, 13, 12, 33, 37, 11, 1, 31, 28, 19, 30, 8, 27, 23, 35, 18, 3]","[2, 60, 61, 102, 57, 9, 12, 92, 73, 74, 44, 43, 81, 83, 71, 20]",136.0,16
0,3,"[0, 16, 17, 2, 11, 1, 21, 36, 38, 30, 19, 28, 29, 23, 35, 18, 3]","[5, 67, 16, 15, 9, 11, 78, 106, 95, 74, 73, 91, 82, 83, 71, 20]",137.0,16
0,3,"[0, 16, 17, 2, 11, 37, 33, 12, 1, 31, 28, 29, 23, 35, 18, 3]","[5, 67, 16, 15, 57, 102, 61, 10, 12, 92, 91, 82, 83, 71, 20]",141.0,15
0,3,"[0, 15, 20, 22, 17, 2, 11, 1, 31, 35, 18, 3]","[4, 65, 76, 69, 16, 15, 9, 12, 98, 71, 20]",144.0,11
0,3,"[0, 13, 12, 33, 37, 11, 1, 21, 36, 38, 30, 19, 28, 29, 23, 35, 18, 3]","[2, 60, 61, 102, 57, 9, 11, 78, 106, 95, 74, 73, 91, 82, 83, 71, 20]",145.0,17
0,4,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 4]","[2, 60, 10, 12, 92, 73, 74, 44, 42, 25]",54.12,10
0,4,"[0, 13, 12, 1, 31, 35, 23, 29, 28, 19, 30, 8, 24, 4]","[2, 60, 10, 12, 98, 83, 82, 91, 73, 74, 44, 42, 25]",78.12,13
0,4,"[0, 13, 12, 1, 31, 35, 23, 27, 8, 24, 4]","[2, 60, 10, 12, 98, 83, 81, 43, 42, 25]",80.12,10
0,4,"[0, 13, 12, 1, 21, 36, 38, 30, 8, 24, 4]","[2, 60, 10, 11, 78, 106, 95, 44, 42, 25]",83.12,10
0,4,"[0, 16, 17, 2, 11, 1, 31, 28, 19, 30, 8, 24, 4]","[5, 67, 16, 15, 9, 12, 92, 73, 74, 44, 42, 25]",87.12,12
0,4,"[0, 13, 12, 1, 31, 28, 29, 23, 27, 8, 24, 4]","[2, 60, 10, 12, 92, 91, 82, 81, 43, 42, 25]",88.12,11
0,4,"[0, 13, 12, 33, 37, 11, 1, 31, 28, 19, 30, 8, 24, 4]","[2, 60, 61, 102, 57, 9, 12, 92, 73, 74, 44, 42, 25]",95.12,13
0,4,"[0, 14, 3, 18, 35, 31, 28, 19, 30, 8, 24, 4]","[3, 19, 20, 71, 98, 92, 73, 74, 44, 42, 25]",95.12,11
0,4,"[0, 14, 3, 18, 35, 23, 29, 28, 19, 30, 8, 24, 4]","[3, 19, 20, 71, 83, 82, 91, 73, 74, 44, 42, 25]",105.12,12
0,4,"[0, 14, 3, 18, 35, 23, 27, 8, 24, 4]","[3, 19, 20, 71, 83, 81, 43, 42, 25]",107.12,9
0,4,"[0, 16, 17, 2, 11, 1, 31, 35, 23, 29, 28, 19, 30, 8, 24, 4]","[5, 67, 16, 15, 9, 12, 98, 83, 82, 91, 73, 74, 44, 42, 25]",111.12,15
0,4,"[0, 16, 17, 2, 11, 1, 31, 35, 23, 27, 8, 24, 4]","[5, 67, 16, 15, 9, 12, 98, 83, 81, 43, 42, 25]",113.12,12
0,4,"[0, 16, 17, 2, 11, 1, 21, 36, 38, 30, 8, 24, 4]","[5, 67, 16, 15, 9, 11, 78, 106, 95, 44, 42, 25]",116.12,12
0,4,"[0, 13, 12, 33, 37, 11, 1, 31, 35, 23, 29, 28, 19, 30, 8, 24, 4]","[2, 60, 61, 102, 57, 9, 12, 98, 83, 82, 91, 73, 74, 44, 42, 25]",119.12,16
0,4,"[0, 16, 17, 2, 11, 1, 31, 28, 29, 23, 27, 8, 24, 4]","[5, 67, 16, 15, 9, 12, 92, 91, 82, 81, 43, 42, 25]",121.12,13
0,4,"[0, 13, 12, 33, 37, 11, 1, 31, 35, 23, 27, 8, 24, 4]","[2, 60, 61, 102, 57, 9, 12, 98, 83, 81, 43, 42, 25]",121.12,13
0,4,"[0, 13, 12, 1, 21, 36, 38, 30, 19, 28, 31, 35, 23, 27, 8, 24, 4]","[2, 60, 10, 11, 78, 106, 95, 74, 73, 92, 98, 83, 81, 43, 42, 25]",123.12,16
0,4,"[0, 13, 12, 33, 37, 11, 1, 21, 36, 38, 30, 8, 24, 4]","[2, 60, 61, 102, 57, 9, 11, 78, 106, 95, 44, 42, 25]",124.12,13
0,4,"[0, 13, 12, 1, 21, 36, 38, 30, 19, 28, 29, 23, 27, 8, 24, 4]","[2, 60, 10, 11, 78, 106, 95, 74, 73, 91, 82, 81, 43, 42, 25]",125.12,15
0,4,"[0, 16, 17, 2, 11, 37, 33, 12, 1, 31, 28, 19, 30, 8, 24, 4]","[5, 67, 16, 15, 57, 102, 61, 10, 12, 92, 73, 74, 44, 42, 25]",128.12,15
0,5,"[0, 13, 12, 1, 31, 35, 23, 5]","[2, 60, 10, 12, 98, 83, 29]",35.31,7
0,5,"[0, 13, 12, 1, 31, 28, 29, 23, 5]","[2, 60, 10, 12, 92, 91, 82, 29]",43.31,8
0,5,"[0, 14, 3, 18, 35, 23, 5]","[3, 19, 20, 71, 83, 29]",62.31,6
0,5,"[0, 16, 17, 2, 11, 1, 31, 35, 23, 5]","[5, 67, 16, 15, 9, 12, 98, 83, 29]",68.31,9
0,5,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 27, 23, 5]","[2, 60, 10, 12, 92, 73, 74, 44, 43, 81, 29]",71.31,11
0,5,"[0, 13, 12, 33, 37, 11, 1, 31, 35, 23, 5]","[2, 60, 61, 102, 57, 9, 12, 98, 83, 29]",76.31,10
0,5,"[0, 16, 17, 2, 11, 1, 31, 28, 29, 23, 5]","[5, 67, 16, 15, 9, 12, 92, 91, 82, 29]",76.31,10
0,5,"[0, 13, 12, 1, 21, 36, 38, 30, 19, 28, 31, 35, 23, 5]","[2, 60, 10, 11, 78, 106, 95, 74, 73, 92, 98, 83, 29]",78.31,13
0,5,"[0, 13, 12, 1, 21, 36, 38, 30, 19, 28, 29, 23, 5]","[2, 60, 10, 11, 78, 106, 95, 74, 73, 91, 82, 29]",80.31,12
0,5,"[0, 13, 12, 33, 37, 11, 1, 31, 28, 29, 23, 5]","[2, 60, 61, 102, 57, 9, 12, 92, 91, 82, 29]",84.31,11
0,5,"[0, 14, 3, 18, 35, 31, 28, 29, 23, 5]","[3, 19, 20, 71, 98, 92, 91, 82, 29]",84.31,9
0,5,"[0, 13, 12, 1, 21, 36, 38, 30, 8, 27, 23, 5]","[2, 60, 10, 11, 78, 106, 95, 44, 43, 81, 29]",100.31,11
0,5,"[0, 16, 17, 2, 11, 1, 31, 28, 19, 30, 8, 27, 23, 5]","[5, 67, 16, 15, 9, 12, 92, 73, 74, 44, 43, 81, 29]",104.31,13
0,5,"[0, 16, 17, 2, 11, 37, 33, 12, 1, 31, 35, 23, 5]","[5, 67, 16, 15, 57, 102, 61, 10, 12, 98, 83, 29]",109.31,12
0,5,"[0, 16, 17, 2, 11, 1, 21, 36, 38, 30, 19, 28, 31, 35, 23, 5]","[5, 67, 16, 15, 9, 11, 78, 106, 95, 74, 73, 92, 98, 83, 29]",111.31,15
0,5,"[0, 13, 12, 33, 37, 11, 1, 31, 28, 19, 30, 8, 27, 23, 5]","[2, 60, 61, 102, 57, 9, 12, 92, 73, 74, 44, 43, 81, 29]",112.31,14
0,5,"[0, 14, 3, 18, 35, 31, 28, 19, 30, 8, 27, 23, 5]","[3, 19, 20, 71, 98, 92, 73, 74, 44, 43, 81, 29]",112.31,12
0,5,"[0, 16, 17, 2, 11, 1, 21, 36, 38, 30, 19, 28, 29, 23, 5]","[5, 67, 16, 15, 9, 11, 78, 106, 95, 74, 73, 91, 82, 29]",113.31,14
0,5,"[0, 16, 17, 2, 11, 37, 33, 12, 1, 31, 28, 29, 23, 5]","[5, 67, 16, 15, 57, 102, 61, 10, 12, 92, 91, 82, 29]",117.31,13
0,5,"[0, 13, 12, 33, 37, 11, 1, 21, 36, 38, 30, 19, 28, 31, 35, 23, 5]","[2, 60, 61, 102, 57, 9, 11, 78, 106, 95, 74, 73, 92, 98, 83, 29]",119.31,16
1,0,"[1, 12, 13, 0]","[10, 60, 2]",15.0,3
1,0,"[1, 11, 2, 17, 16, 0]","[9, 15, 16, 67, 5]",48.0,5
1,0,"[1, 11, 37, 33, 12, 13, 0]","[9, 57, 102, 61, 60, 2]",56.0,6
1,0,"[1, 31, 35, 18, 3, 14, 0]","[12, 98, 71, 20, 19, 3]",62.0,6
1,0,"[1, 31, 28, 29, 23, 35, 18, 3, 14, 0]","[12, 92, 91, 82, 83, 71, 20, 19, 3]",78.0,9
1,0,"[1, 12, 33, 37, 11, 2, 17, 16, 0]","[10, 61, 102, 57, 15, 16, 67, 5]",89.0,8
1,0,"[1, 21, 36, 38, 30, 19, 28, 31, 35, 18, 3, 14, 0]","[11, 78, 106, 95, 74, 73, 92, 98, 71, 20, 19, 3]",105.0,12
1,0,"[1, 31, 28, 19, 30, 8, 27, 23, 35, 18, 3, 14, 0]","[12, 92, 73, 74, 44, 43, 81, 83, 71, 20, 19, 3]",106.0,12
1,0,"[1, 11, 2, 17, 22, 20, 15, 0]","[9, 15, 16, 69, 76, 65, 4]",108.0,7
1,0,"[1, 21, 36, 38, 30, 19, 28, 29, 23, 35, 18, 3, 14, 0]","[11, 78, 106, 95, 74, 73, 91, 82, 83, 71, 20, 19, 3]",115.0,13
1,0,"[1, 21, 36, 38, 30, 8, 27, 23, 35, 18, 3, 14, 0]","[11, 78, 106, 95, 44, 43, 81, 83, 71, 20, 19, 3]",135.0,12
1,0,"[1, 12, 33, 37, 11, 2, 17, 22, 20, 15, 0]","[10, 61, 102, 57, 15, 16, 69, 76, 65, 4]",149.0,10
1,0,"[1, 21, 36, 38, 30, 8, 27, 23, 29, 28, 31, 35, 18, 3, 14, 0]","[11, 78, 106, 95, 44, 43, 81, 82, 91, 92, 98, 71, 20, 19, 3]",157.0,15
1,2,"[1, 11, 2]","[9, 15]",14.0,2
1,2,"[1, 12, 13, 0, 16, 17, 2]","[10, 60, 2, 5, 67, 16]",49.0,6
1,2,"[1, 12, 33, 37, 11, 2]","[10, 61, 102, 57, 15]",55.0,5
1,2,"[1, 11, 37, 33, 12, 13, 0, 16, 17, 2]","[9, 57, 102, 61, 60, 2, 5, 67, 16]",90.0,9
1,2,"[1, 31, 35, 18, 3, 14, 0, 16, 17, 2]","[12, 98, 71, 20, 19, 3, 5, 67, 16]",96.0,9
1,2,"[1, 12, 13, 0, 15, 20, 22, 17, 2]","[10, 60, 2, 4, 65, 76, 69, 16]",109.0,8
1,2,"[1, 31, 28, 29, 23, 35, 18, 3, 14, 0, 16, 17, 2]","[12, 92, 91, 82, 83, 71, 20, 19, 3, 5, 67, 16]",112.0,12
1,2,"[1, 31, 35, 18, 3, 14, 0, 13, 12, 33, 37, 11, 2]","[12, 98, 71, 20, 19, 3, 2, 60, 61, 102, 57, 15]",122.0,12
1,2,"[1, 31, 28, 29, 23, 35, 18, 3, 14, 0, 13, 12, 33, 37, 11, 2]","[12, 92, 91, 82, 83, 71, 20, 19, 3, 2, 60, 61, 102, 57, 15]",138.0,15
1,2,"[1, 21, 36, 38, 30, 19, 28, 31, 35, 18, 3, 14, 0, 16, 17, 2]","[11, 78, 106, 95, 74, 73, 92, 98, 71, 20, 19, 3, 5, 67, 16]",139.0,15
1,2,"[1, 31, 28, 19, 30, 8, 27, 23, 35, 18, 3, 14, 0, 16, 17, 2]","[12, 92, 73, 74, 44, 43, 81, 83, 71, 20, 19, 3, 5, 67, 16]",140.0,15
1,2,"[1, 21, 36, 38, 30, 19, 28, 29, 23, 35, 18, 3, 14, 0, 16, 17, 2]","[11, 78, 106, 95, 74, 73, 91, 82, 83, 71, 20, 19, 3, 5, 67, 16]",149.0,16
1,2,"[1, 11, 37, 33, 12, 13, 0, 15, 20, 22, 17, 2]","[9, 57, 102, 61, 60, 2, 4, 65, 76, 69, 16]",150.0,11
1,2,"[1, 31, 35, 18, 3, 14, 0, 15, 20, 22, 17, 2]","[12, 98, 71, 20, 19, 3, 4, 65, 76, 69, 16]",156.0,11
1,2,"[1, 21, 36, 38, 30, 19, 28, 31, 35, 18, 3, 14, 0, 13, 12, 33, 37, 11, 2]","[11, 78, 106, 95, 74, 73, 92, 98, 71, 20, 19, 3, 2, 60, 61, 102, 57, 15]",165.0,18
1,2,"[1, 31, 28, 19, 30, 8, 27, 23, 35, 18, 3, 14, 0, 13, 12, 33, 37, 11, 2]","[12, 92, 73, 74, 44, 43, 81, 83, 71, 20, 19, 3, 2, 60, 61, 102, 57, 15]",166.0,18
1,2,"[1, 21, 36, 38, 30, 8, 27, 23, 35, 18, 3, 14, 0, 16, 17, 2]","[11, 78, 106, 95, 44, 43, 81, 83, 71, 20, 19, 3, 5, 67, 16]",169.0,15
1,2,"[1, 31, 28, 29, 23, 35, 18, 3, 14, 0, 15, 20, 22, 17, 2]","[12, 92, 91, 82, 83, 71, 20, 19, 3, 4, 65, 76, 69, 16]",172.0,14
1,2,"[1, 21, 36, 38, 30, 19, 28, 29, 23, 35, 18, 3, 14, 0, 13, 12, 33, 37, 11, 2]","[11, 78, 106, 95, 74, 73, 91, 82, 83, 71, 20, 19, 3, 2, 60, 61, 102, 57, 15]",175.0,19
1,2,"[1, 21, 36, 38, 30, 8, 27, 23, 29, 28, 31, 35, 18, 3, 14, 0, 16, 17, 2]","[11, 78, 106, 95, 44, 43, 81, 82, 91, 92, 98, 71, 20, 19, 3, 5, 67, 16]",191.0,18
1,3,"[1, 31, 35, 18, 3]","[12, 98, 71, 20]",36.0,4
1,3,"[1, 12, 13, 0, 14, 3]","[10, 60, 2, 3, 19]",41.0,5
1,3,"[1, 31, 28, 29, 23, 35, 18, 3]","[12, 92, 91, 82, 83, 71, 20]",52.0,7
1,3,"[1, 11, 2, 17, 16, 0, 14, 3]","[9, 15, 16, 67, 5, 3, 19]",74.0,7
1,3,"[1, 21, 36, 38, 30, 19, 28, 31, 35, 18, 3]","[11, 78, 106, 95, 74, 73, 92, 98, 71, 20]",79.0,10
1,3,"[1, 31, 28, 19, 30, 8, 27, 23, 35, 18, 3]","[12, 92, 73, 74, 44, 43, 81, 83, 71, 20]",80.0,10
1,3,"[1, 11, 37, 33, 12, 13, 0, 14, 3]","[9, 57, 102, 61, 60, 2, 3, 19]",82.0,8
1,3,"[1, 21, 36, 38, 30, 19, 28, 29, 23, 35, 18, 3]","[11, 78, 106, 95, 74, 73, 91, 82, 83, 71, 20]",89.0,11
1,3,"[1, 21, 36, 38, 30, 8, 27, 23, 35, 18, 3]","[11, 78, 106, 95, 44, 43, 81, 83, 71, 20]",109.0,10
1,3,"[1, 12, 33, 37, 11, 2, 17, 16, 0, 14, 3]","[10, 61, 102, 57, 15, 16, 67, 5, 3, 19]",115.0,10
1,3,"[1, 21, 36, 38, 30, 8, 27, 23, 29, 28, 31, 35, 18, 3]","[11, 78, 106, 95, 44, 43, 81, 82, 91, 92, 98, 71, 20]",131.0,13
1,3,"[1, 11, 2, 17, 22, 20, 15, 0, 14, 3]","[9, 15, 16, 69, 76, 65, 4, 3, 19]",134.0,9
1,3,"[1, 12, 33, 37, 11, 2, 17, 22, 20, 15, 0, 14, 3]","[10, 61, 102, 57, 15, 16, 69, 76, 65, 4, 3, 19]",175.0,12
1,4,"[1, 31, 28, 19, 30, 8, 24, 4]","[12, 92, 73, 74, 44, 42, 25]",39.12,7
1,4,"[1, 31, 35, 23, 29, 28, 19, 30, 8, 24, 4]","[12, 98, 83, 82, 91, 73, 74, 44, 42, 25]",63.12,10
1,4,"[1, 31, 35, 23, 27, 8, 24, 4]","[12, 98, 83, 81, 43, 42, 25]",65.12,7
1,4,"[1, 21, 36, 38, 30, 8, 24, 4]","[11, 78, 106, 95, 44, 42, 25]",68.12,7
1,4,"[1, 31, 28, 29, 23, 27, 8, 24, 4]","[12, 92, 91, 82, 81, 43, 42, 25]",73.12,8
1,4,"[1, 21, 36, 38, 30, 19, 28, 31, 35, 23, 27, 8, 24, 4]","[11, 78, 106, 95, 74, 73, 92, 98, 83, 81, 43, 42, 25]",108.12,13
1,4,"[1, 12, 13, 0, 14, 3, 18, 35, 31, 28, 19, 30, 8, 24, 4]","[10, 60, 2, 3, 19, 20, 71, 98, 92, 73, 74, 44, 42, 25]",110.12,14
1,4,"[1, 21, 36, 38, 30, 19, 28, 29, 23, 27, 8, 24, 4]","[11, 78, 106, 95, 74, 73, 91, 82, 81, 43, 42, 25]",110.12,12
1,4,"[1, 12, 13, 0, 14, 3, 18, 35, 23, 29, 28, 19, 30, 8, 24, 4]","[10, 60, 2, 3, 19, 20, 71, 83, 82, 91, 73, 74, 44, 42, 25]",120.12,15
1,4,"[1, 12, 13, 0, 14, 3, 18, 35, 23, 27, 8, 24, 4]","[10, 60, 2, 3, 19, 20, 71, 83, 81, 43, 42, 25]",122.12,12
1,4,"[1, 31, 28, 19, 30, 8, 24, 25, 9, 6, 7, 26, 4]","[12, 92, 73, 74, 44, 42, 85, 47, 36, 35, 40, 26]",137.84,12
1,4,"[1, 11, 2, 17, 16, 0, 14, 3, 18, 35, 31, 28, 19, 30, 8, 24, 4]","[9, 15, 16, 67, 5, 3, 19, 20, 71, 98, 92, 73, 74, 44, 42, 25]",143.12,16
1,4,"[1, 12, 13, 0, 14, 3, 18, 35, 31, 28, 29, 23, 27, 8, 24, 4]","[10, 60, 2, 3, 19, 20, 71, 98, 92, 91, 82, 81, 43, 42, 25]",144.12,15
1,4,"[1, 11, 37, 33, 12, 13, 0, 14, 3, 18, 35, 31, 28, 19, 30, 8, 24, 4]","[9, 57, 102, 61, 60, 2, 3, 19, 20, 71, 98, 92, 73, 74, 44, 42, 25]",151.12,17
1,4,"[1, 11, 2, 17, 16, 0, 14, 3, 18, 35, 23, 29, 28, 19, 30, 8, 24, 4]","[9, 15, 16, 67, 5, 3, 19, 20, 71, 83, 82, 91, 73, 74, 44, 42, 25]",153.12,17
1,4,"[1, 11, 2, 17, 16, 0, 14, 3, 18, 35, 23, 27, 8, 24, 4]","[9, 15, 16, 67, 5, 3, 19, 20, 71, 83, 81, 43, 42, 25]",155.12,14
1,4,"[1, 11, 37, 33, 12, 13, 0, 14, 3, 18, 35, 23, 29, 28, 19, 30, 8, 24, 4]","[9, 57, 102, 61, 60, 2, 3, 19, 20, 71, 83, 82, 91, 73, 74, 44, 42, 25]",161.12,18
1,4,"[1, 31, 35, 23, 29, 28, 19, 30, 8, 24, 25, 9, 6, 7, 26, 4]","[12, 98, 83, 82, 91, 73, 74, 44, 42, 85, 47, 36, 35, 40, 26]",161.84,15
1,4,"[1, 11, 37, 33, 12, 13, 0, 14, 3, 18, 35, 23, 27, 8, 24, 4]","[9, 57, 102, 61, 60, 2, 3, 19, 20, 71, 83, 81, 43, 42, 25]",163.12,15
1,4,"[1, 31, 35, 23, 27, 8, 24, 25, 9, 6, 7, 26, 4]","[12, 98, 83, 81, 43, 42, 85, 47, 36, 35, 40, 26]",163.84,12
1,5,"[1, 31, 35, 23, 5]","[12, 98, 83, 29]",20.31,4
1,5,"[1, 31, 28, 29, 23, 5]","[12, 92, 91, 82, 29]",28.31,5
1,5,"[1, 31, 28, 19, 30, 8, 27, 23, 5]","[12, 92, 73, 74, 44, 43, 81, 29]",56.31,8
1,5,"[1, 21, 36, 38, 30, 19, 28, 31, 35, 23, 5]","[11, 78, 106, 95, 74, 73, 92, 98, 83, 29]",63.31,10
1,5,"[1, 21, 36, 38, 30, 19, 28, 29, 23, 5]","[11, 78, 106, 95, 74, 73, 91, 82, 29]",65.31,9
1,5,"[1, 12, 13, 0, 14, 3, 18, 35, 23, 5]","[10, 60, 2, 3, 19, 20, 71, 83, 29]",77.31,9
1,5,"[1, 21, 36, 38, 30, 8, 27, 23, 5]","[11, 78, 106, 95, 44, 43, 81, 29]",85.31,8
1,5,"[1, 12, 13, 0, 14, 3, 18, 35, 31, 28, 29, 23, 5]","[10, 60, 2, 3, 19, 20, 71, 98, 92, 91, 82, 29]",99.31,12
