src_node,dest_node,nodes,links,distance,num_hops
0,1,"[0, 13, 12, 1]","[2, 60, 10]",15.0,3
0,1,"[0, 16, 17, 2, 11, 1]","[5, 67, 16, 15, 9]",48.0,5
0,1,"[0, 13, 12, 33, 37, 11, 1]","[2, 60, 61, 102, 57, 9]",56.0,6
0,1,"[0, 14, 3, 18, 35, 31, 1]","[3, 19, 20, 71, 98, 12]",62.0,6
0,1,"[0, 14, 3, 18, 35, 23, 29, 28, 31, 1]","[3, 19, 20, 71, 83, 82, 91, 92, 12]",78.0,9
0,1,"[0, 16, 17, 2, 11, 37, 33, 12, 1]","[5, 67, 16, 15, 57, 102, 61, 10]",89.0,8
0,1,"[0, 14, 3, 18, 35, 31, 28, 19, 30, 38, 36, 21, 1]","[3, 19, 20, 71, 98, 92, 73, 74, 95, 106, 78, 11]",105.0,12
0,1,"[0, 14, 3, 18, 35, 23, 27, 8, 30, 19, 28, 31, 1]","[3, 19, 20, 71, 83, 81, 43, 44, 74, 73, 92, 12]",106.0,12
0,1,"[0, 15, 20, 22, 17, 2, 11, 1]","[4, 65, 76, 69, 16, 15, 9]",108.0,7
0,1,"[0, 14, 3, 18, 35, 23, 29, 28, 19, 30, 38, 36, 21, 1]","[3, 19, 20, 71, 83, 82, 91, 73, 74, 95, 106, 78, 11]",115.0,13
0,1,"[0, 14, 3, 18, 35, 23, 27, 8, 30, 38, 36, 21, 1]","[3, 19, 20, 71, 83, 81, 43, 44, 95, 106, 78, 11]",135.0,12
0,1,"[0, 15, 20, 22, 17, 2, 11, 37, 33, 12, 1]","[4, 65, 76, 69, 16, 15, 57, 102, 61, 10]",149.0,10
0,1,"[0, 14, 3, 18, 35, 31, 28, 29, 23, 27, 8, 30, 38, 36, 21, 1]","[3, 19, 20, 71, 98, 92, 91, 82, 81, 43, 44, 95, 106, 78, 11]",157.0,15
0,2,"[0, 13, 12, 1, 11, 2]","[2, 60, 10, 9, 15]",29.0,5
0,2,"[0, 16, 17, 2]","[5, 67, 16]",34.0,3
0,2,"[0, 13, 12, 33, 37, 11, 2]","[2, 60, 61, 102, 57, 15]",60.0,6
0,2,"[0, 14, 3, 18, 35, 31, 1, 11, 2]","[3, 19, 20, 71, 98, 12, 9, 15]",76.0,8
0,2,"[0, 14, 3, 18, 35, 23, 29, 28, 31, 1, 11, 2]","[3, 19, 20, 71, 83, 82, 91, 92, 12, 9, 15]",92.0,11
0,2,"[0, 15, 20, 22, 17, 2]","[4, 65, 76, 69, 16]",94.0,5
0,2,"[0, 14, 3, 18, 35, 31, 1, 12, 33, 37, 11, 2]","[3, 19, 20, 71, 98, 12, 10, 61, 102, 57, 15]",117.0,11
0,2,"[0, 14, 3, 18, 35, 31, 28, 19, 30, 38, 36, 21, 1, 11, 2]","[3, 19, 20, 71, 98, 92, 73, 74, 95, 106, 78, 11, 9, 15]",119.0,14
0,2,"[0, 14, 3, 18, 35, 23, 27, 8, 30, 19, 28, 31, 1, 11, 2]","[3, 19, 20, 71, 83, 81, 43, 44, 74, 73, 92, 12, 9, 15]",120.0,14
